"I believe the use of GreatAI improves the quality of AI deployments.","I believe the use of GreatAI would increase my productivity.","I believe the use of GreatAI can lead to robust and trustworthy deployments.","Overall, I found GreatAI useful when working with AI.","I found the GreatAI easy to learn.","I found it is easy to employ GreatAI in practice.","I found it is easy to integrate GreatAI into an existing project.","Overall, I found GreatAI easy to use.","Assuming GreatAI is applicable to my task, I predict that I will use it on a regular basis in the future.","Overall, I intend to use the GreatAI in my personal or professional projects."
"7","7","7","7","7","7","7","7","7","7"
"7","7","6","7","5","6","7","6","7","7"
"4","4","5","6","6","5","4","4","5","4"
"6","7","6","7","7","6","7","6","7","6"
"7","7","6","7","4","5","5","5","6","6"
"6","6","6","6","6","6","6","6","6","6"
"6","6","6","4","5","7","6","6","7","7"
"7","6","6","6","4","5","3","5","5","6"
"4","5","5","5","7","2","3","3","3","3"
"7","7","7","7","5","6","5","6","7","7"
